Ano de exibição;Título da Obra;Gênero;Empresa Distribuidora
2015;Foxcatcher - Uma História Que Chocou O Mundo;Ficção;Sony
2015;Goosebumps - Monstros E Arrepios;Ficção;Sony
2015;Hotel Transilvânia 2;Animação;Sony
2015;Pixels;Ficção;Sony
2015;Ricki And The Flash - De Volta Pra Casa;Ficção;Sony
2015;Sobrenatural - A Origem;Ficção;Sony
2015;Whiplash - Em Busca Da Perfeição;Ficção;Sony
2016;A 5ª Onda;Ficção;Sony
2016;A Chegada;Ficção;Sony
2016;A Senhora Da Van;Ficção;Sony
2016;Águas Rasas;Ficção;Sony
2016;Angry Birds - O Filme;Animação;Sony
2016;Anjos Da Noite - Guerras De Sangue;Ficção;Sony
2016;Elle;Ficção;Sony
2016;Festa Da Salsicha;Animação;Sony
2016;Indignação;Ficção;Sony
2016;Inferno;Ficção;Sony
2016;Jogo Do Dinheiro;Ficção;Sony
2016;Milagres Do Paraíso;Ficção;Sony
2016;O Filho De Saul;Ficção;Sony
2016;O Filho Eterno;Ficção;Sony
2016;O Homem Nas Trevas;Ficção;Sony
2016;O Plano De Maggie;Ficção;Sony
2016;Orgulho E Preconceito E Zumbis;Ficção;Sony
2016;Ressurreição;Ficção;Sony
2016;Rock Em Cabul;Ficção;Sony
2016;Sete Homens E Um Destino;Ficção;Sony
2016;Spotlight - Segredos Revelados;Ficção;Sony
2016;Sr. Holmes;Ficção;Sony
2016;Um Homem Entre Gigantes;Ficção;Sony
2017;A Estrela De Belém;Animação;Sony
2017;A Tartaruga Vermelha;Animação;Sony
2017;A Torre Negra;Ficção;Sony
2017;Além Da Morte;Ficção;Sony
2017;Blade Runner 2049;Ficção;Sony
2017;Em Ritmo De Fuga;Ficção;Sony
2017;Emoji - O Filme;Animação;Sony
2017;Homem-Aranha: De Volta Ao Lar;Ficção;Sony
2017;João, O Maestro;Ficção;Sony
2017;Manchester À Beira-Mar;Ficção;Sony
2017;Mulheres Do Século 20;Ficção;Sony
2017;Negação;Ficção;Sony
2017;Os Smurfs E A Vila Perdida;Animação;Sony
2017;Passageiros (2017);Ficção;Sony
2017;Professor Marston E As Mulheres-Maravilhas;Ficção;Sony
2017;Resident Evil 6 - O Capítulo Final;Ficção;Sony
2017;T2: Trainspotting;Ficção;Sony
2017;Toni Erdmann;Ficção;Sony
2017;Vida;Ficção;Sony
2018;Alfa;Ficção;Sony
2018;Buscando...;Ficção;Sony
2018;Cadáver;Ficção;Sony
2018;Desobediência;Ficção;Sony
2018;Ella E John;Ficção;Sony
2018;Goosebumps: Halloween Assombrado;Ficção;Sony
2018;Hotel Transilvânia 3: Férias Monstruosas;Animação;Sony
2018;Jumanji: Bem-Vindo À Selva;Ficção;Sony
2018;Limites;Ficção;Sony
2018;Me Chame Pelo Seu Nome;Ficção;Sony
2018;Millennium - A Garota Na Teia De Aranha;Ficção;Sony
2018;O Protetor 2;Ficção;Sony
2018;O Quebra-Cabeça;Ficção;Sony
2018;Paulo - Apóstolo De Cristo;Ficção;Sony
2018;Pedro Coelho;Animação;Sony
2018;Rasga Coração;Ficção;Sony
2018;Sem Amor;Ficção;Sony
2018;Sicario: Dia Do Soldado;Ficção;Sony
2018;Slender Man - Pesadelo Sem Rosto;Ficção;Sony
2018;Sobrenatural: A Última Chave;Ficção;Sony
2018;Venom;Ficção;Sony
2019;A Caminho De Casa;Ficção;Sony
2019;Angry Birds 2 - O Filme;Animação;Sony
2019;As Panteras;Ficção;Sony
2019;Brightburn - Filho Das Trevas;Ficção;Sony
2019;Cafarnaum;Ficção;Sony
2019;Era Uma Vez Em Hollywood;Ficção;Sony
2019;Escape Room;Ficção;Sony
2019;Gloria Bell;Ficção;Sony
2019;Homem-Aranha Longe De Casa;Ficção;Sony
2019;Homem-Aranha No Aranhaverso;Animação;Sony
2019;Kardec;Ficção;Sony
2019;Mib: Homens De Preto - Internacional;Ficção;Sony
2019;Se A Rua Beale Falasse;Ficção;Sony
2019;Zumbilândia: Atire Duas Vezes;Ficção;Sony
2020;A Ilha Da Fantasia;Ficção;Sony
2020;Adoráveis Mulheres;Ficção;Sony
2020;Bad Boys Para Sempre;Ficção;Sony
2020;Bloodshot;Ficção;Sony
2020;Jovens Bruxas - Nova Irmandade;Ficção;Sony
2020;Jumanji: Proxima Fase;Ficção;Sony
2020;O Grito;Ficção;Sony
2020;Um Lindo Dia Na Vizinhança;Ficção;Sony
2021;Escape Room 2 ? Tensão Máxima;Ficção;Sony
2021;Ghostbusters Mais Além;Ficção;Sony
2021;Homem-Aranha: Sem Volta Para Casa;Ficção;Sony
2021;Monster Hunter;Ficção;Sony
2021;Nove Dias;Ficção;Sony
2021;O Homem Nas Trevas 2;Ficção;Sony
2021;Pedro Coelho 2: O Fugitivo;Animação;Sony
2021;Resident Evil: Bem-Vindo À Raccoon City;Ficção;Sony
2021;Rogai Por Nós;Ficção;Sony
2021;Venom: Tempo De Carnificina;Ficção;Sony
2022;A Mulher Rei;Ficção;Sony
2022;Convite Maldito;Ficção;Sony
2022;Dragon Ball Super: Super Hero;Animação;Sony
2022;Homem-Aranha, Sem Volta Para Casa - Versão Estendia;Ficção;Sony
2022;Jujutsu Kaisen 0: O Filme;Animação;Sony
2022;Lilo, Lilo, Crocodilo;Ficção;Sony
2022;Luta Pela Fé A História Do Padre Stu;Ficção;Sony
2022;Morbius;Ficção;Sony
2022;Morte Morte Morte;Ficção;Sony
2022;My Hero Academia: Missão Mundial De Heróis;Animação;Sony
2022;Odd Taxi: In The Woods;Animação;Sony
2022;Sword Art Online: Progressive - Ária De Uma Noite Sem Estrelas;Animação;Sony
2022;Terror No Estúdio 666;Ficção;Sony
2022;Trem-Bala;Ficção;Sony
2022;Um Diário Para Jordan: Memórias De Amor E Perda;Ficção;Sony
2022;Um Lugar Bem Longe Daqui;Ficção;Sony
2022;Uncharted: Fora Do Mapa;Ficção;Sony
2011;A Hora Do Espanto;Ficção;Disney
2011;Carros 2;Animação;Disney
2011;Eu Sou O Número Quatro;Ficção;Disney
2011;Gigantes De Aço;Ficção;Disney
2011;Os Muppets;Ficção;Disney
2011;Piratas Do Caribe: Navegando Em Águas Misteriosas;Ficção;Disney
2011;Qualquer Gato;Ficção;Disney
2011;Reino Dos Felinos;Documentário;Disney
2011;Terror Na Água 3D;Ficção;Disney
2011;Winnie The Pooh;Animação;Disney
2012;Cavalo De Guerra;Ficção;Disney
2012;Frankenweenie;Animação;Disney
2012;Histórias Cruzadas;Ficção;Disney
2012;John Carter: Entre Dois Mundos;Ficção;Disney
2012;Os Vingadores - The Avengers;Ficção;Disney
2012;Tinker Bell E O Segredo Das Fadas;Animação;Disney
2012;Valente;Animação;Disney
2013;Aviões;Animação;Disney
2013;Caleuche - O Chamado Do Mar;Ficção;Disney
2013;Detona Ralph;Animação;Disney
2013;Homem De Ferro 3;Ficção;Disney
2013;O Cavaleiro Solitário;Ficção;Disney
2013;Odeio O Dia Dos Namorados;Ficção;Disney
2013;Oz, Mágico E Poderoso;Ficção;Disney
2013;Se Puder...Dirija!;Ficção;Disney
2013;Thor 2 - O Mundo Sombrio;Ficção;Disney
2013;Universidade Monstros;Animação;Disney
2014;12 Anos De Escravidão;Ficção;Disney
2014;A 100 Passos De Um Sonho;Ficção;Disney
2014;Alexandre E O Dia Terrível, Horrível, Espantoso E Horroroso;Ficção;Disney
2014;Aviões - Heróis Do Fogo Ao Resgate;Animação;Disney
2014;Caçada Mortal;Ficção;Disney
2014;Capitão América 2: O Soldado Invernal;Ficção;Disney
2014;De Repente Pai;Ficção;Disney
2014;Frozen: Uma Aventura Congelante;Animação;Disney
2014;Guardiões Da Galáxia;Ficção;Disney
2014;Malévola;Ficção;Disney
2014;Need For Speed - O Filme;Ficção;Disney
2014;O Inventor De Jogos;Ficção;Disney
2014;Operação Big Hero;Animação;Disney
2014;Os Muppets 2 – Procurados E Amados;Ficção;Disney
2014;S. O. S. Mulheres Ao Mar;Ficção;Disney
2014;Tinker Bell - Fadas E Piratas;Animação;Disney
2014;Violetta – O Show;Videomusical;Disney
2014;Walt Nos Bastidores De Mary Poppins;Ficção;Disney
2015;Caminhos Da Floresta;Ficção;Disney
2015;Cinderela;Ficção;Disney
2015;Divertida Mente;Animação;Disney
2015;Homem-Formiga;Ficção;Disney
2015;Selma - Uma Luta Por Igualdade;Ficção;Disney
2015;Star Wars: Episódio Vii - O Despertar Da Força;Ficção;Disney
2015;Tinker Bell E O Monstro Da Terra Do Nunca;Animação;Disney
2015;Tomorrowland: Um Lugar Onde Nada É Impossível;Ficção;Disney
2015;Vingadores: A Era De Ultron;Ficção;Disney
2016;Alice Através Do Espelho;Ficção;Disney
2016;Capitão América: Guerra Civil;Ficção;Disney
2016;Desculpe O Transtorno;Ficção;Disney
2016;Doutor Estranho;Ficção;Disney
2016;Horas Decisivas;Ficção;Disney
2016;Meu Amigo, O Dragão;Ficção;Disney
2016;Mogli - O Menino Lobo;Ficção;Disney
2016;O Bom Dinossauro;Animação;Disney
2016;O Bom Gigante Amigo;Ficção;Disney
2016;Procurando Dory;Animação;Disney
2016;Rainha De Katwe;Ficção;Disney
2016;Rogue One: Uma História Star Wars;Ficção;Disney
2016;Snowden - Herói Ou Traidor;Ficção;Disney
2016;Tini - Depois De Violetta;Ficção;Disney
2016;Zootopia: Essa Cidade É O Bicho;Animação;Disney
2017;A Bela E A Fera (2017);Ficção;Disney
2017;Carros 3;Animação;Disney
2017;Filhos De Bach;Ficção;Disney
2017;Guardiões Da Galáxia Vol. 2;Ficção;Disney
2017;Moana - Um Mar De Aventuras;Animação;Disney
2017;Piratas Do Caribe – A Vingança De Salazar;Ficção;Disney
2017;Star Wars: Os Últimos Jedi;Ficção;Disney
2017;Thor: Ragnarok;Ficção;Disney
2018;Christopher Robin - Um Reencontro Inesquecível;Ficção;Disney
2018;Han Solo: Uma Historia Star Wars;Ficção;Disney
2018;Homem-Formiga E A Vespa;Ficção;Disney
2018;O Quebra-Nozes E Os Quatro Reinos;Ficção;Disney
2018;O Retorno De Mary Poppins;Ficção;Disney
2018;Os Incríveis 2;Animação;Disney
2018;Pantera Negra;Ficção;Disney
2018;Uma Dobra No Tempo;Ficção;Disney
2018;Vingadores: Guerra Infinita;Ficção;Disney
2018;Viva - A Vida É Uma Festa;Animação;Disney
2019;Ad Astra;Ficção;Disney
2019;Aladdin;Ficção;Disney
2019;Capitã Marvel;Ficção;Disney
2019;Divaldo – O Mensageiro Da Paz;Ficção;Disney
2019;Dumbo;Ficção;Disney
2019;Ford Vs Ferrari;Ficção;Disney
2019;Link Perdido;Animação;Disney
2019;Malévola: Dona Do Mal;Ficção;Disney
2019;Meu Amigo Enzo;Ficção;Disney
2019;O Exterminador Do Futuro: Destino Sombrio;Ficção;Disney
2019;O Rei Leão;Ficção;Disney
2019;Star Wars: A Ascensão Skywalker;Ficção;Disney
2019;Toy Story 4;Animação;Disney
2019;Vidro;Ficção;Disney
2019;Vingadores: Ultimato;Ficção;Disney
2019;Wifi Ralph;Animação;Disney
2020;Alice & Só (Ex Bamo Nessa);Ficção;Disney
2020;Ameaça Profunda;Ficção;Disney
2020;Dois Irmãos: Uma Jornada Fantástica;Animação;Disney
2020;Frozen 2;Animação;Disney
2020;Jojo Rabbit;Ficção;Disney
2020;O Chamado Da Floresta;Ficção;Disney
2020;Os Novos Mutantes;Ficção;Disney
2020;Um Espião Animal;Animação;Disney
2020;Uma Vida Oculta;Ficção;Disney
2021;A Casa Sombria;Ficção;Disney
2021;A Crônica Francesa;Ficção;Disney
2021;Amor, Sublime Amor;Ficção;Disney
2021;Cruella;Ficção;Disney
2021;Encanto;Animação;Disney
