Ano de exibição;Título da Obra
2015;Leviatã
2015;Linda De Morrer
2015;Livre
2015;Los Hermanos: Esse É Só O Começo Do Fim Da Nossa História
2015;Loucas Pra Casar
2015;Love
2015;Lugares Escuros
2015;Lulu, Nua E Crua
2015;Macbeth: Ambição E Guerra
2015;Mad Max: Estrada Da Fúria
2015;Magic Mike Xxl
2015;Malala
2015;Mapas Para As Estrelas
2015;Marcas Da Água
2015;Marina Abramovic: A Artista Está Presente
2015;Maze Runner - Prova De Fogo
2015;Meia Hora E As Manchetes Que Viram Manchete
2015;Memórias Da Boca
2015;Metanóia
2015;Meu Nome É Paulo - O Filme
2015;Meu Passado Me Condena 2
2015;Meu Verão Na Provença
2015;Meus Dois Amores
2015;Mia Madre
2015;Minha Querida Dama
2015;Minions
2015;Minúsculos - O Filme
2015;Miss Julie
2015;Missão Impossível - Nação Secreta
2015;Mistress America
2015;Mortdecai: A Arte Da Trapaça
2015;Muitos Homens Num Só
2015;Mulheres No Poder
2015;Música, Amigos E Festa
2015;Na Próxima, Acerto No Coração
2015;Não Olhe Para Trás
2015;Neruda
2015;Nick Cave - 20.000 Dias Na Terra
2015;Ninguém Ama Ninguém Por Mais De Dois Anos
2015;No Coração Do Mar
2015;No Meio Do Rio, Entre As Árvores
2015;Nocaute
2015;Noite Sem Fim
2015;Noites Brancas No Píer
2015;Norte, O Fim Da História
2015;Nostalgia Da Luz
2015;Numa Escola De Havana
2015;O Agente Da U.N.C.L.E
2015;O Amor É Estranho
2015;O Amuleto
2015;O Ano Mais Violento
2015;O Cheiro Da Gente
2015;O Ciclo Da Vida
2015;O Cidadão Do Ano
2015;O Clã
2015;O Clube
2015;O Conto Da Princesa Kaguya
2015;O Dançarino Do Deserto
2015;O Desejo Da Minha Alma
2015;O Destino De Júpiter
2015;O Dia Do Galo
2015;O Diário Da Esperança
2015;O Diário De Uma Camareira
2015;O Duelo
2015;O Duplo
2015;O Exótico Hotel Marigold 2
2015;O Fim De Uma Era
2015;O Fim E Os Meios
2015;O Franco Atirador
2015;O Garoto Da Casa Ao Lado
2015;O Gorila
2015;O Homem Que Elas Amavam Demais
2015;O Imigrante Russo
2015;O Imperador
2015;O Jogo Da Imitação
2015;O Julgamento De Viviane Amsalem
2015;O Natal Dos Coopers
2015;O Pequeno Príncipe
2015;O Pequeno Quinquin
2015;O Preço Da Fama
2015;O Presente
2015;O Que As Mulheres Querem
2015;O Reino Gelado 2
2015;O Rio Nos Pertence
2015;O Sal Da Terra
2015;O Samba
2015;O Segredo Das Águas
2015;O Sétimo Filho
2015;O Sonho De Uma Outra Vida
2015;O Uivo Da Gaita
2015;O Último Ato
2015;O Último Caçador De Bruxas
2015;O Último Cine Drive-In
2015;O Último Poema
2015;O Último Poema Do Rinoceronte
2015;O Vendedor De Passados
2015;O Vinho Perfeito
2015;Obra
2015;Olhos Da Justiça
2015;Olmo E A Gaivota
2015;Onde Borges Tudo Vê
2015;Operações Especiais
2015;Oração Do Amor Selvagem
2015;Orestes
2015;Órfãos Do Eldorado
2015;Os 33
2015;Os Árabes Também Dançam
2015;Os Maias - Cenas Da Vida Romântica
2015;Os Olhos Amarelos Dos Crocodilos
2015;Os Pinguins De Madagascar
2015;Os Tubarões De Copacabana
2015;Os Últimos Cangaceiros
2015;Osvaldão
2015;Ouro, Suor E Lágrimas
2015;Pablo Picasso E O Roubo Da Monalisa
2015;Palavras Diabólicas
2015;Papéis Ao Vento
2015;Para O Outro Lado
2015;Para O Que Der E Vier
2015;Para Sempre Alice
2015;Parcerias Eternas
2015;Party Girl
2015;Pasolini
2015;Passarinho Lá De Nova Iorque
2015;Pássaro Branco Na Nevasca
2015;Pauê – O Passo De Um Vencedor
2015;Paysandu 100 Anos De Payxão
2015;Pecados Antigos, Longas Sombras
2015;Pegando Fogo
2015;Pequeno Dicionário Amoroso 2
2015;Perdido Em Marte
2015;Periscópio
2015;Permanência
2015;Peter Pan
2015;Piadeiros
2015;Pixels
2015;Poltergeist - O Fenômeno
2015;Ponte Aérea
2015;Ponte Dos Espiões
2015;Promessas De Guerra
2015;Qualquer Gato Vira-Lata 2
2015;Quando Meus Pais Não Estão Em Casa
2015;Quarteto Fantástico
2015;Quarto De Guerra
2015;Quase Samba
2015;Que Horas Ela Volta?
2015;Que Mal Eu Fiz A Deus
2015;Que Viva Eisenstein! 10 Dias Que Abalaram O México
2015;Raínha E País
2015;Real Beleza
2015;Relacionamento À Francesa
2015;Renascida Do Inferno
2015;Respire
2015;Retorno A Ítaca
2015;Ricki And The Flash - De Volta Pra Casa
2015;Rio Cigano
2015;Risco Imediato
2015;Roger Waters - The Wall
2015;Romance Policial
2015;Rua Secreta
2015;Ruth & Alex
2015;S.O.S Mulheres Ao Mar 2
2015;Sabor Da Vida
2015;Samba
2015;Samba & Jazz
2015;Sangue Azul
2015;Se Deus Vier Que Venha Armado
2015;Se Fazendo De Morto
2015;Segunda Chance
2015;Selma - Uma Luta Por Igualdade
2015;Sem Direito A Resgate
2015;Sem Filhos
2015;Sentimentos Que Curam
2015;Sexo, Amor E Terapia
2015;Shaun, O Carneiro
2015;Sicario: Terra De Ninguém
2015;Simplesmente Acontece
2015;Sniper Americano
2015;Sob O Mesmo Céu
2015;Sobre Amigos, Amor E Vinho
2015;Sobrenatural - A Origem
2015;Sorria, Você Está Sendo Filmado - O Filme
2015;Sr. Kaplan
2015;Star Wars: Episódio Vii - O Despertar Da Força
2015;Straight Outta Compton – A História Do N.W.A.
2015;Super Velozes Mega Furiosos
2015;Superpai
2015;Surfar É Coisa De Rico
2015;Táxi Teerã
2015;Ted 2
2015;Terceira Pessoa
2015;Terra Cabocla
2015;Terra De Maria
2015;Terremoto: A Falha De San Andreas
2015;Território Do Brincar
2015;The Last Naruto: O Filme
2015;The Opera House: La Boheme
2015;Timbuktu
2015;Tinker Bell E O Monstro Da Terra Do Nunca
2015;Tomie Ohtake
2015;Tomorrowland: Um Lugar Onde Nada É Impossível
2015;Top Girl Ou A Deformação Profissional
2015;Três Lembranças Da Minha Juventude
2015;Tristeza E Alegria
2015;Trocando Os Pés
2015;Tudo Por Amor Ao Cinema
2015;Tudo Que Aprendemos Juntos
2015;Tudo Que Deus Criou
2015;Últimas Conversas
2015;Um Amor A Cada Esquina
2015;Um Filme Francês
2015;Um Fim De Semana Em Paris
2015;Um Jovem Poeta
2015;Um Momento Pode Mudar Tudo
2015;Um Pombo Pousou Num Galho Refletindo Sobre A Existência
2015;Um Pouco De Caos
2015;Um Reencontro
2015;Um Santo Vizinho
2015;Um Senhor Estagiário
2015;Um Sonho Intenso
2015;Uma Longa Jornada
2015;Uma Noite No Museu 3: O Segredo Da Tumba
2015;Uma Nova Amiga
2015;Vai Que Cola - O Filme
2015;Vai Vai: 80 Anos Nas Ruas
2015;Velozes E Furiosos 7
2015;Vício Inerente
2015;Victor Frankenstein
2015;Victoria
2015;Vingadores: A Era De Ultron
2015;Virando A Página
2015;Viver É Fácil Com Os Olhos Fechados
2015;Você Acredita?
2015;Voo 7500
2015;Whiplash - Em Busca Da Perfeição
2015;Winter Sleep
2015;Woody Allen: Um Documentário
2015;Zirig Dum Brasília
2012;007 – Operação Skyfall
2012;12 Horas
2012;13 Assassinos
2012;18 Comidas
2012;31 Minutos – O Filme
2012;360°
2012;5 X Pacificação
2012;7 Dias Em Havana
2012;A Arte Da Conquista
2012;A Arte De Amar
2012;À Beira Do Abismo
2012;À Beira Do Caminho
2012;A Casa Silenciosa
2012;A Dama De Ferro
2012;A Dançarina E O Ladrão
2012;A Delicadeza Do Amor
2012;A Entidade
2012;A Era Do Gelo 4
2012;A Escolha Perfeita
2012;À Espera De Turistas
2012;A Filha Do Pai
2012;A Fonte Das Mulheres
2012;A Guerra Dos Botões
2012;A Guerra Está Declarada
2012;A Hora Da Escuridão
2012;A Invenção De Hugo Cabret
2012;A Mulher De Preto
2012;A Música Segundo Tom Jobim
2012;A Negociação
2012;A Novela Das Oito
2012;A Origem Dos Guardiões
2012;A Perseguição
2012;A Primeira Coisa Bela
2012;A Rebelião
2012;A Saga Crepúsculo: Amanhecer – Parte 2 O Final
2012;A Saga Molusco: Anoitecer
2012;A Separação
2012;A Sombra Do Inimigo
