Ano de Lançamento, 1983.. O Ano Azul 
2009, O Fundo Do Mar 
2009, O Golfinho - A História De Um Sonhador 
2009, O Grilo Feliz E Os Insetos Gigantes 
2009, O Grupo Baader Meinhof 
2009, O Guerreiro Genghis Khan 
2009, O Leitor 
2009, O Lutador 
2009, O Menino Da Porteira 
2009, O Milagre De Santa Luzia 
2009, O Nome Dela É Sabine 
2009, O Poder Do Soul 
2009, O Sequestro Do Metrô 123 
2009, O Solista 
2009, O Visitante 
2009, Operação Valquíria 
2009, Os Falsários 
2009, Os Fantasmas De Scrooge 
2009, Os Normais 2 
2009, Ouro Negro 
2009, Pacto Secreto 
2009, Pagando Bem Que Mal Tem? 
2009, Palavra (En)Cantada 
2009, Paris 
2009, Partir 
2009, Passageiros 
2009, Patativa Do Assaré - Ave Poesia 
2009, Paulo Gracindo - O Bem Amado 
2009, Pequenos Invasores 
2009, Perdido Pra Cachorro 
2009, Planeta 51 
2009, Polícia, Adjetivo 
2009, Por Amor 
2009, Praça Saens Peña 
2009, Presságio 
2009, Quanto Dura O Amor? 
2009, Quarentena 
2009, Quem Quer Ser Um Milionário? 
2009, Recém Chegada 
2009, Rindo A Toa 
2009, Rio Congelado 
2009, Romeu: O Vira-Lata Atrapalhado 
2009, Rumba 
2009, Salve Geral 
2009, Se Beber, Não Case! 
2009, Se Eu Fosse Você 2 
2009, Se Nada Mais Der Certo 
2009, Segredos Íntimos 
2009, Sem Fio 
2009, Sempre Ao Seu Lado 
2009, Senhores Do Vento 
2009, Sex Drive: Rumo Ao Sexo 
2009, Sexta-Feira 13 
2009, Sim Senhor 
2009, Simonal - Ninguém Sabe O Duro Que Dei 
2009, Simplesmente Feliz 
2009, Sinédoque, Nova Iorque 
2009, Som E Fúria 
2009, Star Trek 
2009, Stella 
2009, Substitutos 
2009, Surpresas Do Amor 
2009, Tá Chovendo Hamburger 
2009, Te Amarei Para Sempre 
2009, Tempos De Paz 
2009, Terra 
2009, Terra Sonâmbula 
2009, Território Restrito 
2009, Terror Na Antártida 
2009, The Spirit - O Filme 
2009, Tinha Que Ser Você 
2009, Titãs - A Vida Até Parece Uma Festa 
2009, Tô De Férias 
2009, Tokyo 
2009, Tony Manero 
2009, Topografia De Um Desnudo 
2009, Trama Internacional 
