Ano de exibição;Título da Obra;Gênero
2016;Peppa Pig - As Botas De Ouro E Outras Histórias;Animação
2016;Pets - A Vida Secreta Dos Bichos;Animação
2016;Procurando Dory;Animação
2016;Sing - Quem Canta Seus Males Espanta;Animação
2016;Snoopy & Charlie Brown - Peanuts, O Filme;Animação
2016;Trolls;Animação
2016;Zootopia: Essa Cidade É O Bicho;Animação
2017;A Bailarina;Animação
2017;A Estrela De Belém;Animação
2017;A Tartaruga Vermelha;Animação
2017;As Aventuras De Ozzy;Animação
2017;As Aventuras De Tadeo 2 - O Segredo Do Rei Midas;Animação
2017;As Aventuras Do Capitão Cueca - O Filme;Animação
2017;As Aventuras Do Pequeno Colombo;Animação
2017;Big Pai, Big Filho;Animação
2017;Bruxarias;Animação
2017;Bugigangue No Espaço;Animação
2017;Café - Um Dedo De Prosa;Animação
2017;Carros 3;Animação
2017;Com Amor, Van Gogh;Animação
2017;Emoji - O Filme;Animação
2017;História Antes De Uma História;Animação
2017;Historietas Assombradas - O Filme;Animação
2017;Lego Batman;Animação
2017;Lego Ninjago - O Filme;Animação
2017;Lino - Uma Aventura De Sete Vidas;Animação
2017;Meu Malvado Favorito 3;Animação
2017;Minha Vida De Abobrinha;Animação
2017;Missão Cegonha;Animação
2017;Moana - Um Mar De Aventuras;Animação
2017;My Little Pony - O Filme;Animação
2017;O Garoto Fantasma;Animação
2017;O Poderoso Chefinho;Animação
2017;O Que Será De Nozes 2;Animação
2017;O Reino Gelado: Fogo E Gelo;Animação
2017;Os Smurfs E A Vila Perdida;Animação
2017;Pica-Pau;Animação
2017;Pokémon O Filme: Eu Escolho Você!;Animação
2017;Por Que Vivemos;Animação
2017;Rock Dog - No Faro Do Sucesso;Animação
2017;Thomas E Seus Amigos: Viagem Ao Desconhecido;Animação
2017;Uma Família Feliz;Animação
2018;A Abelhinha Maya - O Filme;Animação
2018;A Tropa De Trapo - Na Selva Do Arco-Íris;Animação
2018;Amigos Alienígenas;Animação
2018;Cinderela E O Príncipe Secreto;Animação
2018;Duda E Os Gnomos;Animação
2018;Encantado;Animação
2018;Fantástica;Animação
2018;Hotel Transilvânia 3: Férias Monstruosas;Animação
2018;Ilha Dos Cachorros;Animação
2018;Jovens Titãs Em Ação! Nos Cinemas;Animação
2018;Mazinger Z - Infinity;Animação
2018;Meu Amigo Vampiro;Animação
2018;O Grinch;Animação
2018;O Homem Das Cavernas;Animação
2018;O Touro Ferdinando;Animação
2018;Os Incríveis 2;Animação
2018;Paddington 2;Animação
2018;Pedro Coelho;Animação
2018;Peixonauta: O Filme;Animação
2018;Pépequeno;Animação
2018;Sherlock Gnomes E O Mistério Do Jardim;Animação
2018;Viva - A Vida É Uma Festa;Animação
2018;Wheely;Animação
2019;A Cidade Dos Piratas;Animação
2019;A Família Addams;Animação
2019;Abominável;Animação
2019;Angry Birds 2 - O Filme;Animação
2019;Aventura Em Miniatura;Animação
2019;Como Treinar O Seu Dragão 3;Animação
2019;Dragon Ball Super: Broly;Animação
2019;Homem-Aranha No Aranhaverso;Animação
2019;Link Perdido;Animação
2019;O Parque Dos Sonhos;Animação
2019;O Reino Gelado: A Terra Dos Espelhos;Animação
2019;Os Brinquedos Mágicos;Animação
2019;Patrulha Canina: Superfilhotes;Animação
2019;Playmobil - O Filme;Animação
2019;The Queen'S Corgi;Animação
2019;Tito E Os Pássaros;Animação
2019;Toy Story 4;Animação
2019;Uma Aventura Lego 2;Animação
2019;Voando Alto;Animação
2019;Wifi Ralph;Animação
2020;Agentes Selvagens;Animação
2020;Dilili Em Paris;Animação
2020;Dois Irmãos: Uma Jornada Fantástica;Animação
2020;Frozen 2;Animação
2020;O Pergaminho Vermelho;Animação
2020;O Tempo Com Você;Animação
2020;Os Olhos De Cabul;Animação
2020;Os Under-Undergrounds, O Começo;Animação
2020;Sapatinho Vermelho E Os Sete Anões;Animação
2020;Scooby - O Filme;Animação
2020;Trolls 2;Animação
2020;Um Espião Animal;Animação
2021;A Abelhinha Maya E O Ovo Dourado;Animação
2021;A Família Addams 2: Pé Na Estrada;Animação
2021;Ainbo – A Guerreira Da Amazônia;Animação
2021;Bob Cuspe - Nós Não Gostamos De Gente;Animação
2021;Demon Slayer: Mugen Train - O Filme;Animação
2021;Encanto;Animação
2021;Família Monstro 2;Animação
2021;Fate Stay Night Heaven’S Feel: Parte 3;Animação
2021;O Poderoso Chefinho 2: Negócios Da Família;Animação
2021;Os Croods 2: Uma Nova Era;Animação
2021;Patrulha Canina - O Filme;Animação
2021;Pedro Coelho 2: O Fugitivo;Animação
2021;Raya E O Último Dragão;Animação
2021;Ron Bugado;Animação
2021;Space Jam: Um Novo Legado;Animação
2021;Spirit: O Indomável;Animação
2021;Tom & Jerry - O Filme;Animação
2022;Além Da Lenda - Filme;Animação
2022;As Aventuras De Gulliver;Animação
2022;As Aventuras De Tadeo E A Tábua De Esmeralda;Animação
2022;Belle;Animação
2022;Coração De Fogo;Animação
2022;Dc Liga Dos Super Pets;Animação
2022;Dragon Ball Super: Super Hero;Animação
2022;Epa 2: A Aventura Continua;Animação
2022;Flee - Nenhum Lugar Para Chamar De Lar;Animação
2022;Jujutsu Kaisen 0: O Filme;Animação
2022;Lightyear;Animação
2022;Meu Amigãozão - O Filme;Animação
2022;Meu Tio José;Animação
2022;Minions 2: A Origem De Gru;Animação
2022;Mundo Estranho;Animação
2022;My Hero Academia: Missão Mundial De Heróis;Animação
2022;O Lendário Cão Guerreiro;Animação
2022;Odd Taxi: In The Woods;Animação
2022;One Piece Film: Red;Animação
2022;Os Caras Malvados;Animação
2022;Pinocchio: O Menino De Madeira;Animação
2022;Pinóquio;Animação
2022;Sing 2;Animação
2022;Sword Art Online: Progressive - Ária De Uma Noite Sem Estrelas;Animação
2022;Tarsilinha;Animação
2022;Tromba Trem - O Filme;Animação
2009;2012;Ficção
2009;3 Macacos;Ficção
2009;500 Dias Com Ela;Ficção
2009;À Deriva;Ficção
2009;A Erva Do Rato;Ficção
2009;A Festa Da Menina Morta;Ficção
2009;A Garota De Mônaco;Ficção
2009;A Garota Ideal;Ficção
2009;A Ilha Da Morte;Ficção
2009;A Janela;Ficção
2009;A Montanha Enfeitiçada;Ficção
2009;A Mulher Invisível;Ficção
2009;A Onda;Ficção
2009;A Órfã;Ficção
2009;A Pantera Cor De Rosa 2;Ficção
2009;A Partida;Ficção
2009;A Pedra Mágica;Ficção
2009;A Procura De Eric;Ficção
2009;A Proposta;Ficção
2009;A Teta Assustada;Ficção
2009;A Trilha;Ficção
2009;A Troca;Ficção
2009;A Verdade Nua E Crua;Ficção
2009;A Vida Íntima De Pippa Lee;Ficção
2009;A Vida Secreta Das Abelhas;Ficção
2009;Abraços Partidos;Ficção
2009;Aconteceu Em Woodstock;Ficção
2009;Adagio Sostenuto;Ficção
2009;Alexandra;Ficção
2009;Algo Que Você Precisa Saber;Ficção
2009;Alguém Que Me Ame De Verdade;Ficção
2009;Alguns Motivos Para Não Se Apaixonar;Ficção
2009;Alma Perdida;Ficção
2009;Almoço Em Agosto;Ficção
2009;Amantes;Ficção
2009;Anjos Da Noite - A Rebelião;Ficção
2009;Anjos E Demônios;Ficção
2009;Anticristo;Ficção
2009;Apenas O Fim;Ficção
2009;Aquele Querido Mês De Agosto;Ficção
2009;Arranca-Me A Vida;Ficção
2009;Arraste-Me Para O Inferno;Ficção
2009;As Testemunhas;Ficção
2009;Atividade Paranormal;Ficção
2009;Atrizes;Ficção
2009;Austrália;Ficção
2009;Avatar;Ficção
2009;Bastardos Inglórios;Ficção
2009;Beijo Na Boca, Não!;Ficção
2009;Bela Noite Para Voar;Ficção
2009;Bem-Vindo;Ficção
2009;Besouro;Ficção
2009;Bons Costumes;Ficção
2009;Bruno;Ficção
2009;Budapeste;Ficção
2009;Caramelo;Ficção
2009;Caro Sr. Horten;Ficção
2009;Casamento Silencioso;Ficção
2009;Che;Ficção
2009;Che 2 - A Guerrilha;Ficção
2009;Cine Cocoricó: As Aventuras Na Cidade;Ficção
2009;Cinzas Do Passado Redux;Ficção
2009;Coco Antes De Chanel;Ficção
2009;Código De Conduta;Ficção
2009;Confissões De Uma Garota De Programa;Ficção
2009;De Repente, California;Ficção
2009;Deixa Ela Entrar;Ficção
2009;Delírios De Consumo De Becky Bloom;Ficção
2009;Desejo E Perigo;Ficção
2009;Dezessete Outra Vez;Ficção
2009;Dia Dos Namorados Macabro 3D;Ficção
2009;Diário Proibido;Ficção
2009;Distrito 9;Ficção
2009;Divã;Ficção
2009;Do Começo Ao Fim;Ficção
2009;Doce De Coco;Ficção
2009;Dois Em Um;Ficção
2009;Dragonball Evolution;Ficção
2009;Duplicidade;Ficção
2009;Dúvida;Ficção
2009;É Proibido Fumar;Ficção
2009;Efeito Borboleta: Revelação;Ficção
2009;Ele Não Está Tão Afim;Ficção
2009;Embarque Imediato;Ficção
2009;Encontro De Casais;Ficção
2009;Enquanto O Sol Não Vem;Ficção
2009;Entre Os Dedos;Ficção
2009;Entre Os Muros Da Escola;Ficção
2009;Ervas Daninhas;Ficção
2009;Estórias De Trancoso;Ficção
2009;Eu Odeio O Dia Dos Namorados;Ficção
2009;Eu Te Amo, Cara;Ficção
2009;Evocando Espíritos;Ficção
2009;Falando Grego;Ficção
2009;Fama;Ficção
2009;Filmefobia;Ficção
2009;Flordelis - Basta Uma Palavra Para Mudar;Ficção
2009;Foi Apenas Um Sonho;Ficção
2009;Força G;Ficção
2009;Força Policial;Ficção
2009;Frost/Nixon;Ficção
2009;G.I. Joe - A Origem De Cobra;Ficção
2009;Gamer;Ficção
2009;Garota Infernal;Ficção
2009;Gesto Obsceno;Ficção
2009;Gigante;Ficção
2009;Glória Ao Cineasta;Ficção
2009;Goodbye...Solo;Ficção
2009;Gran Torino;Ficção
2009;Há Tanto Tempo Que Te Amo;Ficção
2009;Halloween - O Início;Ficção
2009;Hanami - Cerejeiras Em Flor;Ficção
2009;Hannah Montana - O Filme;Ficção
2009;Harry Potter E O Enigma Do Príncipe;Ficção
2009;Heróis;Ficção
2009;High School Band;Ficção
2009;Honeydripper;Ficção
2009;Horas De Verão;Ficção
2009;Hotel Atlântico;Ficção
2009;Import Export;Ficção
2009;Inimigo Publico Nº 1 - Instinto De Morte;Ficção
2009;Inimigos Públicos;Ficção
2009;Intrigas De Estado;Ficção
2009;Jean Charles;Ficção
2009;Jogando Com Prazer;Ficção
2009;Jogo Entre Ladrões;Ficção
2009;Jogos Mortais 6;Ficção
2009;Juízo Final;Ficção
2009;Julie E Julia;Ficção
2009;Katyn;Ficção
2009;Killshot - Tiro Certo;Ficção
2009;Lanchonete Olympia;Ficção
2009;Lição De Amor;Ficção
2009;Lua Nova;Ficção
2009;Manhã Transfigurada;Ficção
2009;Marido Por Acaso;Ficção
2009;Matadores De Vampiras Lésbicas;Ficção
2009;Mesa De Bar Onde Tudo Acontece;Ficção
2009;Milagre Em Sta. Anna;Ficção
2009;Milk - A Voz Da Igualdade;Ficção
2009;Minhas Adoráveis Ex-Namoradas;Ficção
2009;Mistéryos;Ficção
2009;Ninho Vazio;Ficção
2009;No Meu Lugar;Ficção
2009;Noivas Em Guerra;Ficção
2009;Nova York, Eu Te Amo;Ficção
2009;Novidades No Amor;Ficção
2009;O Amor Pede Passagem;Ficção
2009;O Caçador;Ficção
2009;O Casamento De Rachel;Ficção
2009;O Contador De Histórias;Ficção
2009;O Curioso Caso De Benjamin Button;Ficção
2009;O Desinformante;Ficção
2009;O Dia Em Que A Terra Parou;Ficção
2009;O Exterminador Do Futuro: A Salvação;Ficção
2009;O Fim Da Picada;Ficção
2009;O Fundo Do Mar;Ficção
2009;O Grupo Baader Meinhof;Ficção
2009;O Guerreiro Genghis Khan;Ficção
2009;O Leitor;Ficção
2009;O Lutador;Ficção
2009;O Menino Da Porteira;Ficção
2009;O Sequestro Do Metrô 123;Ficção
2009;O Solista;Ficção
2009;O Visitante;Ficção
2009;Operação Valquíria;Ficção
2009;Os Falsários;Ficção
2009;Os Normais 2;Ficção
2009;Ouro Negro;Ficção
2009;Pacto Secreto;Ficção
2009;Pagando Bem Que Mal Tem?;Ficção
2009;Paris;Ficção
2009;Partir;Ficção
2009;Passageiros;Ficção
2009;Pequenos Invasores;Ficção
2009;Perdido Pra Cachorro;Ficção
2009;Polícia, Adjetivo;Ficção
2009;Por Amor;Ficção
2009;Praça Saens Peña;Ficção
2009;Presságio;Ficção
2009;Quanto Dura O Amor?;Ficção
2009;Quarentena;Ficção
2009;Quem Quer Ser Um Milionário?;Ficção
2009;Recém Chegada;Ficção
2009;Rindo A Toa;Ficção
2009;Rio Congelado;Ficção
2009;Rumba;Ficção
2009;Salve Geral;Ficção
2009;Se Beber, Não Case!;Ficção
2009;Se Eu Fosse Você 2;Ficção
2009;Se Nada Mais Der Certo;Ficção
2009;Segredos Íntimos;Ficção
2009;Sem Fio;Ficção
2009;Sempre Ao Seu Lado;Ficção
2009;Sex Drive: Rumo Ao Sexo;Ficção
2009;Sexta-Feira 13;Ficção
2009;Sim Senhor;Ficção
2009;Simplesmente Feliz;Ficção
2009;Sinédoque, Nova Iorque;Ficção
2009;Som E Fúria;Ficção
