Ano de exibição;Título da Obra;Gênero
2013;A Coleção Invisível;Ficção
2013;A Criada;Ficção
2013;A Datilografa;Ficção
2013;A Espuma Dos Dias;Ficção
2013;A Família;Ficção
2013;A Filha Do Meu Melhor Amigo;Ficção
2013;A Floresta De Jonathas;Ficção
2013;A Fuga;Ficção
2013;A Grande Beleza;Ficção
2013;A Hora Mais Escura;Ficção
2013;A Hospedeira;Ficção
2013;A Memória Que Me Contam;Ficção
2013;A Morte Do Demônio;Ficção
2013;A Parte Dos Anjos;Ficção
2013;À Procura Do Amor;Ficção
2013;A Religiosa;Ficção
2013;A Sorte Em Suas Mãos;Ficção
2013;A Última Estação (2013);Ficção
2013;A Viagem;Ficção
2013;A Vida Secreta De Walter Mitty;Ficção
2013;A Visitante Francesa;Ficção
2013;A Voz Adormecida;Ficção
2013;Aconteceu Em Saint-Tropez;Ficção
2013;Adeus Berthe: O Enterro Da Vovó;Ficção
2013;Adeus, Minha Rainha;Ficção
2013;Álbum De Família;Ficção
2013;Além Da Escuridão - Star Trek;Ficção
2013;Além Da Fronteira;Ficção
2013;Além Das Montanhas;Ficção
2013;Além Do Arco-Íris;Ficção
2013;Almas Silenciosas;Ficção
2013;Alvo Duplo;Ficção
2013;Amanhecer Violento;Ficção
2013;América – Uma História Portuguesa;Ficção
2013;Amigos Inseparáveis;Ficção
2013;Amor;Ficção
2013;Amor Bandido;Ficção
2013;Amor É Tudo O Que Você Precisa;Ficção
2013;Amor Pleno;Ficção
2013;Amor Profundo;Ficção
2013;Amorosa Soledad;Ficção
2013;Angie;Ficção
2013;Anita E Garibaldi;Ficção
2013;Anna Karenina;Ficção
2013;Anos Incríveis;Ficção
2013;Antes Da Meia Noite;Ficção
2013;Apenas O Vento;Ficção
2013;Aposta Máxima;Ficção
2013;Artigas - La Redota;Ficção
2013;As Bem-Armadas;Ficção
2013;As Horas Vulgares;Ficção
2013;As Sessões;Ficção
2013;Até Que A Sorte Nos Separe 2;Ficção
2013;Atrás Da Porta;Ficção
2013;Augustine;Ficção
2013;Azul É A Cor Mais Quente;Ficção
2013;Barbara;Ficção
2013;Bastardos;Ficção
2013;Beije-Me Outra Vez;Ficção
2013;Biblioteca Pascal;Ficção
2013;Bling Ring - A Gangue De Hollywood;Ficção
2013;Blue Jasmine;Ficção
2013;Boa Sorte, Meu Amor;Ficção
2013;Bonitinha, Mas Ordinária;Ficção
2013;Branca De Neve;Ficção
2013;Caça Aos Gângsteres;Ficção
2013;Caleuche - O Chamado Do Mar;Ficção
2013;Camille Claudel, 1915;Ficção
2013;Camille Outra Vez;Ficção
2013;Capitão Phillips;Ficção
2013;Carreras;Ficção
2013;Carrie, A Estranha;Ficção
2013;Casa Da Mãe Joana 2;Ficção
2013;César Deve Morrer;Ficção
2013;Chamada A Cobrar;Ficção
2013;Chamada De Emergência;Ficção
2013;Cine Holliúdy;Ficção
2013;Cinzas E Sangue;Ficção
2013;Círculo De Fogo;Ficção
2013;Cirque Du Soleil - Outros Mundos;Ficção
2013;Colegas;Ficção
2013;Como Na Canção Dos Beatles - Norwegian Wood;Ficção
2013;Como Não Perder Essa Mulher;Ficção
2013;Conexão Perigosa;Ficção
2013;Confissões De Um Jovem Apaixonado;Ficção
2013;Corda Bamba;Ficção
2013;Cores;Ficção
2013;Corpo Presente;Ficção
2013;Crazy Horse;Ficção
2013;Crô - O Filme;Ficção
2013;Cru;Ficção
2013;De Coração Aberto;Ficção
2013;Deixe A Luz Acesa;Ficção
2013;Dentro Da Casa;Ficção
2013;Depois Da Terra;Ficção
2013;Depois De Lúcia;Ficção
2013;Depois De Maio;Ficção
2013;Dezesseis Luas;Ficção
2013;Diana;Ficção
2013;Django Livre;Ficção
2013;Doce Amianto;Ficção
2013;Dores De Amores;Ficção
2013;Dose Dupla;Ficção
2013;Duro De Matar: Um Bom Dia Para Morrer;Ficção
2013;É O Fim;Ficção
2013;Educação Sentimental;Ficção
2013;Ela Vai;Ficção
2013;Elysium;Ficção
2013;Em Transe;Ficção
2013;Ender´S Game - O Jogo Do Exterminador;Ficção
2013;Ensaio;Ficção
2013;Era Uma Vez Na Anatólia;Ficção
2013;Esse Amor Que Nos Consome;Ficção
2013;Eu E Você;Ficção
2013;Eu Não Faço A Menor Ideia Do Que Eu Tô Fazendo Com A Minha Vida;Ficção
2013;Eu, Anna;Ficção
2013;Família Do Bagulho;Ficção
2013;Faroeste Caboclo;Ficção
2013;Feito Gente Grande;Ficção
2013;Ferrugem E Osso;Ficção
2013;Filha De Ninguém;Ficção
2013;Filhos Da Meia Noite;Ficção
2013;Filme Jardim Atlântico;Ficção
2013;Finalmente 18!;Ficção
2013;Flores Raras;Ficção
2013;Fogo Contra Fogo;Ficção
2013;Foxfire;Ficção
2013;Frances Ha;Ficção
2013;G.I. Joe: Retaliação;Ficção
2013;Gente Grande 2;Ficção
2013;Ginger & Rosa;Ficção
2013;Giovanni Improtta;Ficção
2013;Gravidade;Ficção
2013;Guerra Mundial Z;Ficção
2013;Habi, A Estrangeira;Ficção
2013;Hannah Arendt;Ficção
2013;Hitchcock;Ficção
2013;Hoje;Ficção
2013;Homem De Ferro 3;Ficção
2013;Hora Menos;Ficção
2013;Inatividade Paranormal;Ficção
2013;Indomável Sonhadora;Ficção
2013;Infectados;Ficção
2013;Invasão À Casa Branca;Ficção
2013;Invocação Do Mal;Ficção
2013;Jack - O Caçador De Gigantes;Ficção
2013;Jack Reacher: O Último Tiro;Ficção
2013;João E Maria: Caçadores De Bruxas;Ficção
2013;Jobs;Ficção
2013;Jogos Vorazes: Em Chamas;Ficção
2013;Jovem E Bela;Ficção
2013;Juan Dos Mortos;Ficção
2013;Juan E A Bailarina;Ficção
2013;Juan E Evita, Uma História De Amor;Ficção
2013;Kick Ass 2;Ficção
2013;Killer Joe - Matador De Aluguel;Ficção
2013;La Jaula De Oro;Ficção
2013;Las Acacias;Ficção
2013;Lincoln;Ficção
2013;Linha De Ação;Ficção
2013;Linha De Frente;Ficção
2013;Lore;Ficção
2013;Lovelace;Ficção
2013;Mama;Ficção
2013;Mato Sem Cachorro;Ficção
2013;Meu Namorado É Um Zumbi;Ficção
2013;Meu Passado Me Condena;Ficção
2013;Meu Pé De Laranja-Lima;Ficção
2013;Minha Mãe É Uma Peça;Ficção
2013;Minha Vida Dava Um Filme;Ficção
2013;Muito Barulho Por Nada;Ficção
2013;Mundo Invisível;Ficção
2013;Na Carne E Na Alma;Ficção
2013;Na Neblina;Ficção
2013;Na Quadrada Das Águas Perdidas;Ficção
2013;No Lugar Errado;Ficção
2013;Noites De Reis;Ficção
2013;Nove Crônicas Para Um Coração Aos Berros;Ficção
2013;O Abismo Prateado;Ficção
2013;O Acordo;Ficção
2013;O Amante Da Rainha;Ficção
2013;O Ataque;Ficção
2013;O Capital;Ficção
2013;O Carteiro;Ficção
2013;O Casamento Do Ano;Ficção
2013;O Cavaleiro Solitário;Ficção
2013;O Concurso;Ficção
2013;O Conselheiro Do Crime;Ficção
2013;O Dobro Ou Nada;Ficção
2013;O Estranho Caso De Angélica;Ficção
2013;O Exercício Do Caos;Ficção
2013;O Filho Do Outro;Ficção
2013;O Futuro;Ficção
2013;O Grande Gatsby;Ficção
2013;O Hobbit: A Desolação De Smaug;Ficção
2013;O Homem De Aço;Ficção
2013;O Homem Mais Procurado Do Mundo;Ficção
2013;O Homem Que Ri;Ficção
2013;O Inventor De Sonhos;Ficção
2013;O Lado Bom Da Vida;Ficção
2013;O Lugar Onde Tudo Termina;Ficção
2013;O Mar Ao Amanhecer;Ficção
2013;O Massacre Da Serra Elétrica 3D - A Lenda Continua;Ficção
2013;O Mestre;Ficção
2013;O Mordomo Da Casa Branca;Ficção
2013;O País Do Desejo;Ficção
2013;O Primeiro Dia De Um Ano Qualquer;Ficção
2013;O Quarteto;Ficção
2013;O Que Se Move;Ficção
2013;O Que Traz Boas Novas;Ficção
2013;O Resgate;Ficção
2013;O Som Ao Redor;Ficção
2013;O Sonho De Wadjda;Ficção
2013;O Tempo E O Vento;Ficção
2013;O Último Desafio;Ficção
2013;O Último Elvis;Ficção
2013;O Último Exorcismo – Parte 2;Ficção
2013;O Verão Da Minha Vida;Ficção
2013;O Verão Do Skylab;Ficção
2013;O Voo;Ficção
2013;Oblivion;Ficção
2013;Obsessão;Ficção
2013;Odeio O Dia Dos Namorados;Ficção
2013;Os Amantes Passageiros;Ficção
2013;Os Belos Dias;Ficção
2013;Os Escolhidos;Ficção
2013;Os Estagiários;Ficção
2013;Os Instrumentos Mortais - Cidade Dos Ossos;Ficção
2013;Os Miseráveis;Ficção
2013;Os Sabores Do Palácio;Ficção
2013;Os Smurfs 2;Ficção
2013;Os Suspeitos;Ficção
2013;Oz, Mágico E Poderoso;Ficção
2013;Pais E Filhos;Ficção
2013;Paixão E Acaso;Ficção
2013;Para Maiores;Ficção
2013;Paris-Manhattan;Ficção
2013;Parker;Ficção
2013;Paz, Amor E Muito Mais;Ficção
2013;Pedalando Com Moliére;Ficção
2013;Percy Jackson E O Mar De Monstros;Ficção
2013;Pieta;Ficção
2013;Preenchendo O Vazio;Ficção
2013;Quase Um Tango;Ficção
2013;Querida, Vou Comprar Cigarros E Já Volto;Ficção
2013;Questão De Tempo;Ficção
2013;R.I.P.D - Agentes Do Além;Ficção
2013;Rânia;Ficção
2013;Reality;Ficção
2013;Red 2 - Aposentados E Ainda Mais Perigosos;Ficção
2013;Renoir;Ficção
2013;Réquiem Para Laura Martin;Ficção
2013;Reus;Ficção
2013;Riddick 3;Ficção
2013;Rota De Fuga;Ficção
2013;Rush - No Limite Da Emoção;Ficção
2013;Sacrifício;Ficção
2013;Salvo;Ficção
2013;Se Beber, Não Case! Parte 3;Ficção
2013;Se Puder...Dirija!;Ficção
2013;Segredos De Sangue;Ficção
2013;Sejam Muito Bem-Vindos;Ficção
2013;Sem Dor, Sem Ganho;Ficção
2013;Sem Proteção;Ficção
2013;Serra Pelada;Ficção
2013;Sete Psicopatas E Um Shih Tzu;Ficção
2013;Silent Hill - Revelação 3D;Ficção
2013;Simone;Ficção
2013;Simplesmente Uma Mulher;Ficção
2013;Sobrenatural: Capítulo 2;Ficção
2013;Solidões;Ficção
2013;Somos O Que Somos;Ficção
2013;Somos Tão Jovens;Ficção
2013;Super Nada;Ficção
2013;Tabu;Ficção
2013;Tainá - A Origem;Ficção
2013;Tango Livre;Ficção
2013;Tanta Água;Ficção
2013;Tatuagem;Ficção
2013;Terapia De Risco;Ficção
2013;Terra Firme;Ficção
2013;Tese Sobre Um Homicídio;Ficção
2013;Thérèse D.;Ficção
2013;Thor 2 - O Mundo Sombrio;Ficção
2013;Todo Mundo Em Pânico 5;Ficção
2013;Trampolim Do Forte;Ficção
2013;Trem Noturno Para Lisboa;Ficção
2013;Três Mundos;Ficção
2013;Truque De Mestre;Ficção
2013;Última Viagem A Vegas;Ficção
2013;Um Bom Partido;Ficção
2013;Um Castelo Na Itália;Ficção
2013;Um Estranho No Lago;Ficção
2013;Um Final De Semana Em Hyde Park;Ficção
2013;Um Golpe Perfeito;Ficção
2013;Um Porto Seguro;Ficção
2013;Um Toque De Pecado;Ficção
2013;Uma Dama Em Paris;Ficção
2013;Uma Estranha Amizade;Ficção
2013;Uma Família Em Apuros;Ficção
2013;Uma Garrafa No Mar De Gaza;Ficção
2013;Uma Ladra Sem Limites;Ficção
2013;Uma Noite;Ficção
2013;Uma Noite De Crime;Ficção
2013;Uma Primavera Com Minha Mãe;Ficção
2013;Vai Que Dá Certo;Ficção
2013;Vazio Coração;Ficção
2013;Velozes E Furiosos 6;Ficção
2013;Vendo Ou Alugo;Ficção
2013;Vocês Ainda Não Viram Nada!;Ficção
2013;Vovô Sem Vergonha;Ficção
2013;Wolverine Imortal;Ficção
2013;Wrong;Ficção
2014;12 Anos De Escravidão;Ficção
2014;13° Distrito;Ficção
2014;3 Dias Para Matar;Ficção
2014;300: A Ascenção Do Império;Ficção
2014;3X3D;Ficção
2014;7 Caixas;Ficção
2014;A 100 Passos De Um Sonho;Ficção
2014;A Balada Do Provisório;Ficção
2014;A Bela E A Fera;Ficção
2014;A Casa Elétrica;Ficção
2014;A Culpa É Das Estrelas;Ficção
2014;A Face Do Mal;Ficção
2014;A Família Bélier;Ficção
2014;A Fita Azul;Ficção
2014;A Gaiola Dourada;Ficção
2014;A Grande Escolha;Ficção
2014;A Grande Noite;Ficção
2014;A Grande Vitória;Ficção
2014;A Marca Do Medo;Ficção
2014;A Menina Dos Campos De Arroz;Ficção
2014;A Menina Que Roubava Livros;Ficção
2014;A Montanha Matterhorn;Ficção
2014;A Música Nunca Parou;Ficção
2014;A Noite Da Virada;Ficção
2014;A Oeste Do Fim Do Mundo;Ficção
2014;A Onda Da Vida – Uma História De Amor & Surf;Ficção
2014;A Pedra De Paciência;Ficção
2014;A Pelada;Ficção
2014;A Primeira Missa Ou Tristes Tropeços, Enganos E Urucum;Ficção
2014;À Procura;Ficção
2014;A Recompensa;Ficção
2014;Ajuste De Contas;Ficção
2014;Alabama Monroe;Ficção
2014;Alemão;Ficção
2014;Alexandre E O Dia Terrível, Horrível, Espantoso E Horroroso;Ficção
2014;Alguém Qualquer;Ficção
2014;Amante A Domicílio;Ficção
2014;Amantes Eternos;Ficção
2014;Amar, Beber E Cantar;Ficção
2014;Amazônia;Ficção
2014;Amor Fora Da Lei;Ficção
2014;Amor Sem Fim;Ficção
2014;Amores Inversos;Ficção
2014;Anjos Da Lei 2;Ficção
2014;Annabelle;Ficção
2014;Anos Felizes;Ficção
2014;Antes Do Inverno;Ficção
2014;Aos Ventos Que Virão;Ficção
2014;Apenas Uma Chance;Ficção
2014;Apneia;Ficção
2014;As Aventuras De Paddigton;Ficção
2014;As Duas Faces De Janeiro;Ficção
2014;As Férias Do Pequeno Nicolau;Ficção
2014;As Tartarugas Ninja;Ficção
2014;Até O Fim;Ficção
2014;Atividade Paranormal: Marcados Pelo Mal;Ficção
2014;Attila Marcel;Ficção
2014;Avanti Popolo;Ficção
2014;Belem, Zona De Conflito;Ficção
2014;Bem-Vindo A Nova York;Ficção
2014;Bistrô Romantique;Ficção
2014;Boa Sorte;Ficção
2014;Boy Meets Girl;Ficção
2014;Boyhood - Da Infância À Juventude;Ficção
2014;Caçada Mortal;Ficção
2014;Caçadores De Obras-Primas;Ficção
2014;Cães Errantes;Ficção
2014;Cantinflas;Ficção
2014;Capitão América 2: O Soldado Invernal;Ficção
2014;Castanha;Ficção
2014;Causa E Efeito;Ficção
2014;Chef;Ficção
2014;Clube De Compras Dallas;Ficção
2014;Confia Em Mim;Ficção
2014;Confissões De Adolescente - O Filme;Ficção
2014;Copa De Elite;Ficção
2014;Coração De Leão;Ficção
2014;Cortinas Fechadas;Ficção
2014;Crônica Do Fim Do Mundo;Ficção
2014;Cupcakes - Música E Fantasia;Ficção
2014;De Menor;Ficção
2014;De Repente Pai;Ficção
2014;De Volta Ao Jogo;Ficção
2014;Debi E Lóide 2;Ficção
2014;Deus Não Está Morto;Ficção
2014;Divergente;Ficção
2014;Do Lado De Fora;Ficção
2014;Drácula: A História Nunca Contada;Ficção
2014;Ela;Ficção
2014;Eles Voltam;Ficção
2014;Elsa & Fred;Ficção
2014;Entre Nós;Ficção
2014;Entre Vales;Ficção
2014;Era Uma Vez Em Nova York;Ficção
2014;Era Uma Vez Em Tóquio;Ficção
2014;Estação Liberdade;Ficção
2014;Eu, Mamãe E Os Meninos;Ficção
2014;Êxodo: Deuses E Reis;Ficção
2014;Filha Distante;Ficção
2014;Florbela;Ficção
2014;Frankenstein - Entre Anjos E Demônios;Ficção
2014;Fruitvale Station - A Última Parada;Ficção
2014;Fúria;Ficção
2014;Garota Exemplar;Ficção
2014;Gata Velha Ainda Mia;Ficção
2014;Getúlio;Ficção
2014;Glória;Ficção
2014;Godzilla;Ficção
2014;Grand Central;Ficção
2014;Grandes Amigos;Ficção
2014;Guardiões Da Galáxia;Ficção
2014;Heli;Ficção
2014;Hercules;Ficção
2014;Hércules;Ficção
2014;Hermano - Uma Fábula Sobre Futebol;Ficção
2014;Hoje Eu Quero Voltar Sozinho;Ficção
2014;Homens, Mulheres E Filhos;Ficção
2014;Hotel Mekong;Ficção
2014;Ida;Ficção
2014;Idênticos;Ficção
2014;Inatividade Paranormal 2;Ficção
2014;Inch'Allah;Ficção
2014;Inside Llewyn Davis: Balada De Um Homem Comum;Ficção
2014;Insônia;Ficção
2014;Instinto Materno;Ficção
2014;Interestelar;Ficção
2014;Irmã Dulce;Ficção
2014;Isolados;Ficção
2014;Jackie;Ficção
2014;Jardim Europa;Ficção
2014;Jersey Boys – Em Busca Da Música;Ficção
2014;Jogada De Rei;Ficção
2014;Jogo Das Decapitações;Ficção
2014;Jogo De Xadrez;Ficção
2014;Jogos Vorazes: A Esperança - Parte 1;Ficção
2014;Jovem Aloucada;Ficção
2014;Julio Sumiu;Ficção
2014;Juntos E Misturados;Ficção
2014;Karen Chora No Ônibus;Ficção
2014;La Playa D. C.;Ficção
2014;Lascados;Ficção
2014;Latitudes;Ficção
2014;Livrai-Nos Do Mal;Ficção
2014;Longwave - Nas Ondas Da Revolução;Ficção
2014;Los Nobles: Quando Os Ricos Quebram A Cara;Ficção
2014;Lucy;Ficção
2014;Lunchbox;Ficção
2014;Made In China;Ficção
2014;Magia Ao Luar;Ficção
2014;Mais Um Ano;Ficção
2014;Malévola;Ficção
2014;Mão Na Luva;Ficção
2014;Mar Negro;Ficção
2014;Marina;Ficção
2014;Maze Runner - Correr Ou Morrer;Ficção
2014;Meninos De Kichute;Ficção
2014;Mesmo Se Nada Der Certo;Ficção
2014;Meteora;Ficção
2014;Michael Kohlhaas - Justiça E Honra;Ficção
2014;Mil Vezes Boa Noite;Ficção
2014;Minutos Atrás;Ficção
2014;Miss Violence;Ficção
2014;Mommy;Ficção
2014;Monty Phyton E O Sentido Da Vida;Ficção
2014;Muita Calma Nessa Hora 2;Ficção
2014;Mulheres Ao Ataque;Ficção
2014;Na Quebrada;Ficção
2014;Namoro Ou Liberdade?;Ficção
2014;Não Aceitamos Devoluções;Ficção
2014;Não Pare Na Pista: A Melhor História De Paulo Coelho;Ficção
2014;Nebraska;Ficção
2014;Need For Speed - O Filme;Ficção
2014;Ninfomaníaca;Ficção
2014;Ninfomaníaca Ii;Ficção
2014;No Limite Do Amanhã;Ficção
2014;No Olho Do Tornado;Ficção
2014;Noé;Ficção
2014;Nós Somos As Melhores;Ficção
2014;November Man - Um Espião Nunca Morre;Ficção
2014;O Abutre;Ficção
2014;O Amor É Um Crime Perfeito;Ficção
2014;O Apocalipse;Ficção
2014;O Batismo;Ficção
2014;O Candidato Honesto;Ficção
2014;O Casamento De Gorete;Ficção
2014;O Casamento De May;Ficção
2014;O Céu É De Verdade;Ficção
2014;O Ciúme;Ficção
2014;O Crítico;Ficção
2014;O Doador De Memórias;Ficção
2014;O Enigma Chinês;Ficção
2014;O Espelho;Ficção
2014;O Espetacular Homem Aranha 2;Ficção
2014;O Estudante (2014);Ficção
2014;O Fantástico Mundo De Juan Orol;Ficção
2014;O Filho De Deus;Ficção
2014;O Físico;Ficção
2014;O Gebo E A Sombra;Ficção
2014;O Grande Herói;Ficção
2014;O Grande Hotel Budapeste;Ficção
2014;O Grande Kilapy;Ficção
2014;O Grande Mestre;Ficção
2014;O Herdeiro Do Diabo;Ficção
2014;O Hobbit: A Batalha Dos Cinco Exércitos;Ficção
2014;O Homem Das Multidões;Ficção
2014;O Homem Duplicado;Ficção
2014;O Homem Mais Procurado;Ficção
2014;O Inventor De Jogos;Ficção
2014;O Juiz;Ficção
2014;O Lobo Atrás Da Porta;Ficção
2014;O Lobo De Wall Street;Ficção
2014;O Médico Alemão;Ficção
2014;O Melhor De Mim;Ficção
2014;O Melhor Lance;Ficção
2014;O Menino No Espelho;Ficção
2014;O Mensageiro (2014);Ficção
2014;O Palácio Francês;Ficção
2014;O Passado;Ficção
2014;O Pequeno Fugitivo;Ficção
2014;O Protetor;Ficção
2014;O Que Os Homens Falam;Ficção
2014;O Segredo Dos Diamantes;Ficção
2014;O Senhor Do Labirinto;Ficção
2014;O Teorema Zero;Ficção
2014;O Último Amor De Mr. Morgan;Ficção
2014;O Último Concerto;Ficção
2014;O Último Lance Do Leilão;Ficção
2014;Oldboy – Dias De Vingança;Ficção
2014;Operação Sombra: Jack Ryan;Ficção
2014;Os 47 Ronins;Ficção
2014;Os Amigos;Ficção
2014;Os Caras De Pau Em O Misterioso Roubo Do Anel;Ficção
2014;Os Filhos Do Padre;Ficção
2014;Os Homens São De Marte... E É Para Lá Que Eu Vou;Ficção
2014;Os Mercenários 3;Ficção
2014;Os Muppets 2 – Procurados E Amados;Ficção
2014;Oslo, 31 De Agosto;Ficção
2014;Ouija - O Jogo Dos Espíritos;Ficção
2014;Paixão Inocente;Ficção
2014;Paraíso;Ficção
2014;Pau Brasil;Ficção
2014;Pelo Malo;Ficção
2014;Pelos Olhos De Maisie;Ficção
2014;Philomena;Ficção
2014;Planeta Dos Macacos: O Confronto;Ficção
2014;Planeta Solitário;Ficção
2014;Pompeia;Ficção
2014;Por Uma Mulher;Ficção
2014;Praia Do Futuro;Ficção
2014;Prenda-Me;Ficção
2014;Profissão De Risco;Ficção
2014;Quando Eu Era Vivo;Ficção
2014;Que Estranho Chamar-Se Federico;Ficção
2014;Quero Matar Meu Chefe 2;Ficção
2014;Questão De Escolha;Ficção
2014;Refém Da Paixão;Ficção
2014;Relatos Selvagens;Ficção
2014;Rio, Eu Te Amo;Ficção
2014;Riocorrente;Ficção
2014;Robocop;Ficção
2014;Run & Jump;Ficção
2014;S. O. S. Mulheres Ao Mar;Ficção
2014;Saint Laurent;Ficção
2014;Sangue Ruim;Ficção
2014;Se Eu Ficar;Ficção
2014;Sem Escalas;Ficção
2014;Sem Evidências;Ficção
2014;Será Que?;Ficção
2014;Sétimo;Ficção
2014;Sex Tape: Perdido Na Nuvem;Ficção
2014;Sin City 2: A Dama Fatal;Ficção
2014;Sob A Pele;Ficção
2014;Sobrevivente;Ficção
2014;Sobrevivente Urbano;Ficção
2014;The Rover - A Caçada;Ficção
2014;Tim Maia;Ficção
2014;Todos Os Dias;Ficção
2014;Toque De Mestre;Ficção
2014;Transcendence – A Revolução;Ficção
2014;Transformers: A Era Da Extinção;Ficção
2014;Trapaça;Ficção
2014;Trash - A Esperança Vem Do Lixo;Ficção
2014;Trinta;Ficção
2014;Tudo Acontece Em Nova York;Ficção
2014;Tudo Por Justiça;Ficção
2014;Tudo Por Um Furo;Ficção
2014;Um Amor De Vizinha;Ficção
2014;Um Amor Em Paris;Ficção
2014;Um Belo Domingo;Ficção
2014;Um Conto Do Destino;Ficção
2014;Um Episódio Na Vida De Um Catador De Ferro-Velho;Ficção
2014;Um Milhão De Maneiras De Pegar Na Pistola;Ficção
2014;Um Novo Dueto;Ficção
2014;Um Plano Brilhante;Ficção
2014;Uma Dose Violenta De Qualquer Coisa;Ficção
2014;Uma Família Em Tóquio;Ficção
2014;Uma Juíza Sem Juízo;Ficção
2014;Uma Lição De Vida;Ficção
2014;Uma Longa Queda;Ficção
2014;Uma Longa Viagem (2014);Ficção
2014;Uma Noite De Crime: Anarquia;Ficção
2014;Uma Nova Chance Para Amar;Ficção
2014;Uma Promessa;Ficção
2014;Uma Relação Delicada;Ficção
2014;Uma Viagem Extraordinária;Ficção
2014;Uma Vida Comum;Ficção
2014;Ventos De Agosto;Ficção
2014;Vermelho Brasil;Ficção
2014;Versos De Um Crime;Ficção
2014;Vestido Pra Casar;Ficção
2014;Vic+Flo Viram Um Urso;Ficção
2014;Violette;Ficção
2014;Virgínia;Ficção
2014;Viva A Liberdade;Ficção
2014;Vizinhos;Ficção
2014;Walesa;Ficção
2014;Walt Nos Bastidores De Mary Poppins;Ficção
2014;Winter, O Golfinho 2;Ficção
2014;X-Men: Dias De Um Futuro Esquecido;Ficção
2014;Yves Saint Laurent;Ficção
2015;#Garotas;Ficção
2015;007 Contra Spectre;Ficção
2015;118 Dias;Ficção
2015;14 Estações De Maria;Ficção
2015;3 Corações;Ficção
2015;45 Anos;Ficção
2015;A Acusada;Ficção
2015;À Beira Mar;Ficção
2015;A Casa De Cecília;Ficção
2015;A Casa Dos Mortos;Ficção
2015;A Colina Escarlate;Ficção
2015;A Dama Dourada;Ficção
2015;A Entidade 2;Ficção
2015;A Entrevista;Ficção
2015;A Escolha Perfeita 2;Ficção
2015;A Esperança É A Última Que Morre;Ficção
2015;A Espiã Que Sabia De Menos;Ficção
2015;A Estrada 47;Ficção
2015;A Festa De Despedida;Ficção
2015;A Floresta Que Se Move;Ficção
2015;A Força;Ficção
2015;A Gangue;Ficção
2015;A História Da Eternidade;Ficção
2015;A Hora E A Vez De Augusto Matraga;Ficção
2015;A Ilha Do Milharal;Ficção
2015;A Incrível História De Adaline;Ficção
2015;A Lição;Ficção
2015;A Marcha;Ficção
2015;A Mulher De Preto 2 - Anjo Da Morte;Ficção
2015;A Pele De Vênus;Ficção
2015;A Pequena Morte;Ficção
2015;A Possessão Do Mal;Ficção
2015;A Segunda Esposa;Ficção
2015;A Série Divergente - Insurgente;Ficção
2015;A Teoria De Tudo;Ficção
2015;A Terra E A Sombra;Ficção
2015;A Travessia;Ficção
2015;A Visita;Ficção
2015;Acima Das Nuvens;Ficção
2015;Adeus À Linguagem;Ficção
2015;Aliança Do Crime;Ficção
2015;Aliyah;Ficção
2015;Alucinados;Ficção
2015;American Ultra: Armados E Alucinados;Ficção
2015;Amizade Desfeita;Ficção
2015;Amor À Primeira Briga;Ficção
2015;Amor, Drogas E Nova York;Ficção
2015;Amor, Plástico E Barulho;Ficção
2015;Anna K.;Ficção
2015;Annie;Ficção
2015;Antes De Dormir;Ficção
2015;Apenas Entre Nós;Ficção
2015;As Maravilhas;Ficção
2015;As Mil E Uma Noites: Volume 1, O Inquieto;Ficção
2015;As Sufragistas;Ficção
2015;Até Que A Casa Caia;Ficção
2015;Até Que A Sorte Nos Separe 3;Ficção
2015;Atividade Paranormal: Dimensão Fantasma;Ficção
2015;Através;Ficção
2015;Ausência;Ficção
2015;Bata Antes De Entrar;Ficção
2015;Batguano;Ficção
2015;Beijei Uma Garota;Ficção
2015;Beira Mar;Ficção
2015;Belas E Perseguidas;Ficção
2015;Belle E Sebástian;Ficção
2015;Bem Casados;Ficção
2015;Bem Perto De Buenos Aires;Ficção
2015;Birdman Ou A Inesperada Virtude Da Ignorância;Ficção
2015;Blind;Ficção
2015;Branco Sai Preto Fica;Ficção
2015;Busca Implacável 3;Ficção
2015;Cake - Uma Razão Para Viver;Ficção
2015;Cala Boca Philip;Ficção
2015;Califórnia;Ficção
2015;Caminhos Da Floresta;Ficção
2015;Capital Humano;Ficção
2015;Carga Explosiva - O Legado;Ficção
2015;Carrossel, O Filme;Ficção
2015;Casa Grande;Ficção
2015;Casadentro;Ficção
2015;Chappie;Ficção
2015;Chatô - O Rei Do Brasil;Ficção
2015;Cidades De Papel;Ficção
2015;Cinderela;Ficção
2015;Cinquenta Tons De Cinza;Ficção
2015;Club Sandwich;Ficção
2015;Como Sobreviver A Um Ataque Zumbi;Ficção
2015;Condado Macabro;Ficção
2015;Corações De Ferro;Ficção
2015;Corrente Do Mal;Ficção
2015;Crimes Ocultos;Ficção
2015;D.U.F.F. Você Conhece, Tem Ou É.;Ficção
2015;De Cabeça Erguida;Ficção
2015;Deixa Rolar;Ficção
2015;Depois Da Chuva;Ficção
2015;Depois De Tudo;Ficção
2015;Dheepan - O Refúgio;Ficção
2015;Divã A 2;Ficção
2015;Dívida De Honra;Ficção
2015;Dois Amigos;Ficção
2015;Dois Casamentos;Ficção
2015;Dois Dias, Uma Noite;Ficção
2015;Dois Homens Contra Uma Cidade;Ficção
2015;Dois Lados Do Amor;Ficção
2015;Dólares De Areia;Ficção
